Date,VIX,VXX,SPY
2019-04-01,13.4,1839.36,285.83
2019-04-02,13.36,1834.24,285.97
2019-04-03,13.74,1847.04,286.42
2019-04-04,13.58,1828.48,287.18
2019-04-05,12.82,1792.0,288.57
2019-04-08,13.18,1783.68,288.79
2019-04-09,14.28,1847.04,287.31
2019-04-10,13.3,1795.2,288.29
2019-04-11,13.02,1760.0,288.21
2019-04-12,12.01,1680.64,290.16
2019-04-15,12.32,1658.88,289.97
2019-04-16,12.18,1645.44,290.16
2019-04-17,12.6,1656.96,289.45
2019-04-18,12.09,1630.72,290.02
2019-04-22,12.42,1616.0,290.27
2019-04-23,12.28,1603.2,292.88
2019-04-24,13.14,1644.8,292.23
2019-04-25,13.25,1676.8,292.05
2019-04-26,12.73,1618.56,293.41
2019-04-29,13.11,1643.52,293.87
2019-04-30,13.12,1643.52,294.02
2019-05-01,14.8,1705.6,291.81
2019-05-02,14.42,1708.16,291.18
2019-05-03,12.87,1626.88,294.03
2019-05-06,15.44,1719.04,292.82
2019-05-07,19.32,2005.12,287.93
2019-05-08,19.4,1965.44,287.53
2019-05-09,19.1,1955.2,286.66
2019-05-10,16.04,1804.16,288.1
2019-05-13,20.55,2076.8,280.86
2019-05-14,18.06,1961.6,283.4
2019-05-15,16.44,1879.04,285.06
2019-05-16,15.29,1798.4,287.7
2019-05-17,15.96,1825.28,285.84
2019-05-20,16.31,1852.16,283.95
2019-05-21,14.95,1758.72,286.51
2019-05-22,14.75,1742.08,285.63
2019-05-23,16.92,1857.28,282.14
2019-05-24,15.85,1818.88,282.78
2019-05-28,17.5,1873.28,280.15
2019-05-29,17.9,1909.76,278.27
2019-05-30,17.3,1875.84,279.03
2019-05-31,18.71,1946.88,275.27
2019-06-03,18.86,1966.72,274.57
2019-06-04,16.97,1857.28,280.53
2019-06-05,16.09,1821.44,282.96
2019-06-06,15.93,1782.4,284.8
2019-06-07,16.3,1795.84,287.65
2019-06-10,15.94,1783.04,288.97
2019-06-11,15.99,1786.24,288.9
2019-06-12,15.91,1777.92,288.39
2019-06-13,15.82,1767.04,289.58
2019-06-14,15.28,1748.48,289.26
2019-06-17,15.35,1729.92,289.37
2019-06-18,15.15,1716.48,292.4
2019-06-19,14.33,1659.52,293.06
2019-06-20,14.75,1664.64,295.86
2019-06-21,15.4,1703.68,294.0
2019-06-24,15.26,1688.32,293.64
2019-06-25,16.28,1731.2,290.76
2019-06-26,16.21,1717.76,290.47
2019-06-27,15.82,1690.88,291.5
2019-06-28,15.08,1664.0,293.0
2019-07-01,14.06,1571.84,295.66
2019-07-02,12.93,1513.6,296.43
2019-07-03,12.57,1504.64,298.8
2019-07-05,13.28,1509.12,298.46
2019-07-08,13.96,1550.72,296.82
2019-07-09,14.09,1555.2,297.19
2019-07-10,13.03,1507.84,298.61
2019-07-11,12.93,1482.88,299.31
2019-07-12,12.39,1459.2,300.65
2019-07-15,12.68,1453.44,300.75
2019-07-16,12.86,1457.92,299.78
2019-07-17,13.97,1495.04,297.74
2019-07-18,13.53,1479.36,298.83
2019-07-19,14.45,1496.32,297.17
2019-07-22,13.53,1466.24,297.9
2019-07-23,12.61,1414.4,300.03
2019-07-24,12.07,1378.56,301.44
2019-07-25,12.74,1420.8,300.0
2019-07-26,12.16,1384.96,302.01
2019-07-29,12.83,1397.12,301.46
2019-07-30,13.94,1429.76,300.72
2019-07-31,16.12,1509.76,297.43
2019-08-01,17.87,1628.8,294.84
2019-08-02,17.61,1642.24,292.62
2019-08-05,24.59,1875.2,283.82
2019-08-06,20.17,1758.72,287.8
2019-08-07,19.49,1767.68,287.97
2019-08-08,16.91,1662.72,293.62
2019-08-09,17.97,1723.52,291.62
2019-08-12,21.09,1848.96,288.07
2019-08-13,17.52,1712.64,292.55
2019-08-14,22.1,1949.76,283.9
2019-08-15,21.18,1898.88,284.65
2019-08-16,18.47,1793.92,288.85
2019-08-19,16.88,1662.72,292.33
